CustomerKey,FirstName,LastName,FullName,Gender,Gender,DateFirstPurchase,City
11000,Jon,Yang,Jon Yang,M,Male,2011-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,M,Male,2011-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,M,Male,2011-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,F,Female,2010-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,F,Female,2011-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,M,Male,2010-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,F,Female,2011-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,M,Male,2011-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,F,Female,2011-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,M,Male,2011-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,F,Female,2011-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,M,Male,2010-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,F,Female,2013-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,M,Male,2013-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,F,Female,2013-03-23,Redmond
11015,Chloe,Young,Chloe Young,F,Female,2013-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,M,Male,2013-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,F,Female,2011-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,M,Male,2011-01-17,Bendigo
11019,Luke,Lal,Luke Lal,M,Male,2013-02-12,Langley
11020,Jordan,King,Jordan King,M,Male,2012-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,F,Female,2013-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,M,Male,2013-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,M,Male,2013-02-17,Bellflower
11024,Russell,Xie,Russell Xie,M,Male,2013-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,M,Male,2011-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,M,Male,2011-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,M,Male,2011-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,F,Female,2011-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,M,Male,2011-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,F,Female,2011-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,F,Female,2011-02-01,Matraville
11032,Denise,Stone,Denise Stone,F,Female,2011-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,M,Male,2011-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,F,Female,2011-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,F,Female,2011-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,F,Female,2013-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,F,Female,2013-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,F,Female,2011-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,M,Male,2011-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,M,Male,2013-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,F,Female,2013-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,F,Female,2013-01-21,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,M,Male,2013-05-08,Glendale
11044,Adam,Flores,Adam Flores,M,Male,2011-02-28,Hervey Bay
11045,Leonard,Nara,Leonard Nara,M,Male,2013-04-10,Matraville
11046,Christine,Yuan,Christine Yuan,F,Female,2011-02-06,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,F,Female,2011-02-03,Geelong
11048,Jeremy,Powell,Jeremy Powell,M,Male,2011-02-10,Sunbury
11049,Carol,Rai,Carol Rai,F,Female,2013-03-09,Chula Vista
11050,Alan,Zheng,Alan Zheng,M,Male,2011-02-20,Hobart
11051,Daniel,Johnson,Daniel Johnson,M,Male,2013-12-29,Caloundra
